score,stemmed,text_akhir,polarity_score,polarity,sentiment
3,"['tolong', 'blu', 'bca', 'shopeepay', 'hapus', 'enak', 'shopee', 'tolong']",tolong blu bca shopeepay hapus enak shopee tolong,0,neutral,0
5,"['simpel', 'tampil', 'tarik', 'kini']",simpel tampil tarik kini,6,positive,1
5,"['akun', 'logout', 'sndri', 'masuk', 'akun', 'buka', 'aplikasi', 'langsung', 'masuk', 'daftar']",akun logout sndri masuk akun buka aplikasi langsung masuk daftar,-9,negative,-1
5,"['bagus', 'kurang', 'louding', 'login', 'transaksi', 'tolong', 'baik', 'lancar', 'transaksi']",bagus kurang louding login transaksi tolong baik lancar transaksi,8,positive,1
5,"['aplikasi', 'blu', 'baguss', 'fiturfitur', 'update', 'mudah', 'atur', 'uang', 'mahasiswi', 'fitur', 'blu', 'saving', 'tabung', 'pribadi', 'blu', 'gether', 'tabung', 'efisien', 'mudah', 'positif', 'aplikasi', 'blu', 'moga', 'depan', 'tambah', 'fiturfitur', 'tarik', 'guna', 'blu', 'guna', 'blu']",aplikasi blu baguss fiturfitur update mudah atur uang mahasiswi fitur blu saving tabung pribadi blu gether tabung efisien mudah positif aplikasi blu moga depan tambah fiturfitur tarik guna blu guna blu,20,positive,1
2,"['loadingnya', 'gagal', 'jaring', 'aplikasi', 'jaring', 'kencang', 'pas', 'butuhin', 'transaksi', 'coba', 'ulang', 'jaring']",loadingnya gagal jaring aplikasi jaring kencang pas butuhin transaksi coba ulang jaring,9,positive,1
5,"['tolong', 'team', 'blu', 'bca', 'digital', 'fitur', 'qris', 'timbul', 'dana', 'masuktransfer', 'qris', 'timbul', 'dana', 'keluarbayar', 'contoh', 'bca', 'mobile', 'bca', 'tolong', 'adain', 'fitur', 'guna', 'guna', 'bca', 'digital', 'teman', 'transfer', 'jarak', 'bayar', 'merchant']",tolong team blu bca digital fitur qris timbul dana masuktransfer qris timbul dana keluarbayar contoh bca mobile bca tolong adain fitur guna guna bca digital teman transfer jarak bayar merchant,5,positive,1
3,"['overall', 'oke', 'daftar', 'verifikasi', 'wajah', 'susah', 'kali', 'susah', 'verifikasi', 'wajah', 'saran', 'scan', 'wajah', 'foto', 'identitas', 'scan', 'wajah']",overall oke daftar verifikasi wajah susah kali susah verifikasi wajah saran scan wajah foto identitas scan wajah,-4,negative,-1
5,"['barubaru', 'informasi', 'blu', 'bca', 'digital', 'coba', 'download', 'rekening', 'blu', 'bca', 'digital', 'dg', 'udngn', 'r', 'z', 'j', 'h', 'b', 'asli', 'puas', 'mudah', 'transaksi', 'kirim', 'uang', 'beda', 'bank', 'biaya', 'admin', 'top', 'ewallet', 'biaya', 'admin', 'trus', 'potong', 'bulan', 'tarik', 'setor', 'tunai', 'atm', 'bca', 'virtual', 'card', 'debit', 'cardnya', 'gratiss', 'bank', 'kirim', 'alamat', 'tampil', 'aplikasi', 'simple']",barubaru informasi blu bca digital coba download rekening blu bca digital dg udngn r z j h b asli puas mudah transaksi kirim uang beda bank biaya admin top ewallet biaya admin trus potong bulan tarik setor tunai atm bca virtual card debit cardnya gratiss bank kirim alamat tampil aplikasi simple,18,positive,1
3,"['rada', 'lelet', 'aplikasi', 'tampil', 'sudak', 'good', 'full', 'virtual', 'bank', 'mohon', 'kembang', 'aplikasi', 'pakai', 'belanja', 'pinjam', 'bunga', 'wajar']",rada lelet aplikasi tampil sudak good full virtual bank mohon kembang aplikasi pakai belanja pinjam bunga wajar,-5,negative,-1
5,"['aman', 'suka', 'fitur', 'warna', 'khas', 'kurang', 'operasi', 'aplikasi', 'bilang', 'berat', 'hp', 'kentang', 'lebih', 'aman', 'nyaman']",aman suka fitur warna khas kurang operasi aplikasi bilang berat hp kentang lebih aman nyaman,5,positive,1
1,"['lelet', 'banget', 'sinyal', 'lancarterlalu', 'lambat', 'gabisa', 'buka', 'loadingnya', 'banget', 'bikin', 'gregetan', 'tolong', 'baik']",lelet banget sinyal lancarterlalu lambat gabisa buka loadingnya banget bikin gregetan tolong baik,6,positive,1
1,"['biaya', 'admin', 'aplikasi', 'blu', 'bikin', 'biaya', 'adminnya', 'gratis', 'kali', 'tarik', 'tunai', 'kartu', 'pakai', 'kartu', 'kena', 'biaya', 'admin', 'kali', 'setor', 'tunai', 'kena', 'biaya', 'rugi', 'banget', 'pakai', 'blu', 'bca']",biaya admin aplikasi blu bikin biaya adminnya gratis kali tarik tunai kartu pakai kartu kena biaya admin kali setor tunai kena biaya rugi banget pakai blu bca,-2,negative,-1
5,"['aplikasi', 'keren', 'lelet', 'tolong', 'baik', 'aplikasi', 'blu', 'fitur', 'bikin', 'keren', 'simple', 'baik', 'aplikasi', 'blu', 'lancar', 'mybca']",aplikasi keren lelet tolong baik aplikasi blu fitur bikin keren simple baik aplikasi blu lancar mybca,-2,negative,-1
4,"['min', 'tolong', 'apps', 'update', 'cepat', 'responsif', 'mnurut', 'apps', 'terllu', 'lambat', 'banding', 'apps', 'bank']",min tolong apps update cepat responsif mnurut apps terllu lambat banding apps bank,2,positive,1
1,"['dana', 'deh', 'pakai', 'apk', 'tangan', 'suruh', 'tunggu', 'bukti', 'tunggu', 'moga', 'etikad', 'blu', 'malu', 'pos', 'urgent']",dana deh pakai apk tangan suruh tunggu bukti tunggu moga etikad blu malu pos urgent,-3,negative,-1
1,"['layan', 'customer', 'servis', 'buruk', 'tele', 'tele', 'selesai', 'masalahnasabah', 'butuh', 'bank', 'bank', 'butuh', 'nasabahmasih', 'produk', 'digital', 'bank', 'mudah', 'layan', 'ganti', 'nomer', 'handphone', 'nomer', 'hangus', 'ganti', 'nomer', 'hand', 'phone', 'nyata', 'terselesaikancustomer', 'servis', 'educated', 'selesai', 'nasabahsaya', 'mohon', 'data', 'rekam', 'sistem', 'blu']",layan customer servis buruk tele tele selesai masalahnasabah butuh bank bank butuh nasabahmasih produk digital bank mudah layan ganti nomer handphone nomer hangus ganti nomer hand phone nyata terselesaikancustomer servis educated selesai nasabahsaya mohon data rekam sistem blu,-16,negative,-1
5,"['bagus', 'aktifitas', 'virtual', 'account', 'jual', 'beli', 'orang', 'bingung', 'fitur', 'blu', 'transaksi', 'via', 'transfer', 'nomor', 'rekening', 'daftar', 'mesti', 'bank', 'fitur', 'menu', 'apk', 'samain', 'banking', 'bca']",bagus aktifitas virtual account jual beli orang bingung fitur blu transaksi via transfer nomor rekening daftar mesti bank fitur menu apk samain banking bca,-3,negative,-1
3,"['tolong', 'aplikasi', 'smooth', 'developer', 'berat', 'orang', 'butuh', 'transaksi', 'cepat', 'aman']",tolong aplikasi smooth developer berat orang butuh transaksi cepat aman,-4,negative,-1
3,"['bug', 'uinya', 'butuh', 'jaring', 'kuat', 'buka', 'loading', 'menu', 'utama']",bug uinya butuh jaring kuat buka loading menu utama,-3,negative,-1
2,"['pinjam', 'lancar', 'tunggak', 'ataunkertelambatanpinjaman', 'kecewa', 'butuh', 'anak', 'sekolah', 'pikir', 'bantu', 'dugaandr', 'pinjam', 'tetangga', 'bilang', 'adapake', 'aplikasi', 'pinjam', 'gagalpembayaran', 'utama', 'biar', 'bela', 'blacklisty', 'gmn', 'klau', 'deh', 'gin']",pinjam lancar tunggak ataunkertelambatanpinjaman kecewa butuh anak sekolah pikir bantu dugaandr pinjam tetangga bilang adapake aplikasi pinjam gagalpembayaran utama biar bela blacklisty gmn klau deh gin,-8,negative,-1
5,"['layan', 'bagus', 'mudah', 'pakai', 'mudah', 'guna', 'free', 'biaya', 'kasih', 'segi', 'layan', 'online', 'bagus', 'respon', 'cepat', 'layan', 'muas', 'tingkat', 'kualitas', 'depan', 'blu', 'discont', 'tervover', 'bayar', 'online', 'contactless', 'lain']",layan bagus mudah pakai mudah guna free biaya kasih segi layan online bagus respon cepat layan muas tingkat kualitas depan blu discont tervover bayar online contactless lain,9,positive,1
1,"['habis', 'update', 'versi', 'baru', 'buka', 'stuck', 'halaman', 'logo', 'cube', 'ngeri', 'naruh', 'duit', 'masalah']",habis update versi baru buka stuck halaman logo cube ngeri naruh duit masalah,-8,negative,-1
2,"['aneh', 'deh', 'asa', 'update', 'loadingnya', 'aplikasi', 'bener', 'dibenerin', 'lama', 'pindah', 'loading', 'benerin']",aneh deh asa update loadingnya aplikasi bener dibenerin lama pindah loading benerin,-7,negative,-1
1,"['daftar', 'via', 'online', 'dipersulitsdh', 'isi', 'data', 'dn', 'upload', 'ektpfoto', 'wajah', 'tu', 'pn', 'gagal', 'jgniat', 'rekening', 'blu', 'buka', 'usaha', 'transfer', 'dn', 'terima', 'dana', 'pn', 'dn', 'mana', 'pntp', 'nyangka', 'layan', 'ribetgk', 'selesai', 'dlm', 'hitung', 'jam']",daftar via online dipersulitsdh isi data dn upload ektpfoto wajah tu pn gagal jgniat rekening blu buka usaha transfer dn terima dana pn dn mana pntp nyangka layan ribetgk selesai dlm hitung jam,-13,negative,-1
4,"['tolong', 'tambah', 'fitur', 'qris', 'via', 'barcode', 'scan', 'guna', 'belanja', 'mini', 'market']",tolong tambah fitur qris via barcode scan guna belanja mini market,4,positive,1
5,"['blu', 'bank', 'digital', 'bca', 'aplikasi', 'oke', 'registrasi', 'mudah', 'cepat', 'fitur', 'lumayan', 'transaksi', 'realtime', 'aman', 'sayang', 'app', 'berat', 'depan', 'harap', 'bagus']",blu bank digital bca aplikasi oke registrasi mudah cepat fitur lumayan transaksi realtime aman sayang app berat depan harap bagus,2,positive,1
5,"['transfer', 'salah', 'bank', 'kirim', 'saldo', 'kurang', 'dana', 'cek', 'salah', 'bank', 'tolong', 'baik', 'bank', 'salah', 'pemberitahuan', 'mobile', 'banking', 'nama', 'kirim', 'muncul', 'dana', 'terima', 'kasih', 'responnya']",transfer salah bank kirim saldo kurang dana cek salah bank tolong baik bank salah pemberitahuan mobile banking nama kirim muncul dana terima kasih responnya,-4,negative,-1
1,"['kemarin', 'malam', 'bobol', 'puluh', 'juta', 'rupiah', 'lapor', 'via', 'wa', 'telpon', 'nomor', 'id', 'lapor', 'email', 'lapor', 'login', 'masuk', 'nomor', 'hp', 'masuk', 'nomor', 'otp', 'langsung', 'masuk', 'verifikasi', 'wajah', 'mana', 'hasil', 'seolaholah', 'sengaja', 'biar', 'login', 'aplikasi', 'jelek', 'sistem', 'aman', 'investigasi', 'mediasi']",kemarin malam bobol puluh juta rupiah lapor via wa telpon nomor id lapor email lapor login masuk nomor hp masuk nomor otp langsung masuk verifikasi wajah mana hasil seolaholah sengaja biar login aplikasi jelek sistem aman investigasi mediasi,-17,negative,-1
1,"['pinjam', 'komit', 'ikutin', 'rules', 'tawar', 'proses', 'aju', 'accord', 'tanggal', 'terang', 'x', 'jam', 'suruh', 'tunggu', 'tanggal', 'jan', 'cs', 'wa', 'banyak', 'pakai', 'autochat', 'boot', 'bikin', 'emosi', 'nyelesain']",pinjam komit ikutin rules tawar proses aju accord tanggal terang x jam suruh tunggu tanggal jan cs wa banyak pakai autochat boot bikin emosi nyelesain,-19,negative,-1
2,"['tahap', 'video', 'callantri', 'nomor', 'tunggu', 'menitsetelah', 'gilir', 'tutup', 'otomatis', 'interviewpadahal', 'nasabah', 'bcatolong', 'tingkat', 'aplikasi']",tahap video callantri nomor tunggu menitsetelah gilir tutup otomatis interviewpadahal nasabah bcatolong tingkat aplikasi,1,positive,1
5,"['tolong', 'bikin', 'ringan', 'bagus', 'lho', 'banar', 'lamban', 'transaksi', 'pakai', 'menu', 'inti', 'butuh', 'nasabah', 'ringan']",tolong bikin ringan bagus lho banar lamban transaksi pakai menu inti butuh nasabah ringan,4,positive,1
1,"['aplikasi', 'lambat', 'banget', 'kayak', 'kepake', 'deh', 'kaya', 'gin', 'langsung', 'pakai', 'bca', 'mobile', 'cepat', 'tolong', 'baik', 'aplikasi', 'lambat', 'berfikir', 'gin']",aplikasi lambat banget kayak kepake deh kaya gin langsung pakai bca mobile cepat tolong baik aplikasi lambat berfikir gin,-2,negative,-1
4,"['wortittable', 'si', 'tingkat', 'segi', 'fitur', 'tampil', 'biar', 'mudah', 'transaksi', 'trimakasih']",wortittable si tingkat segi fitur tampil biar mudah transaksi trimakasih,4,positive,1
1,"['parah', 'login', 'apps', 'ganti', 'device', 'hatus', 'periv', 'sulit', 'gagal', 'melulu', 'verif', 'muka', 'telepon', 'cs', 'jawab', 'gitu', 'uang', 'solusi', 'pakai', 'blu', 'salah', 'transfer', 'login', 'blu', 'kendala', 'verif', 'muka', 'sulit', 'kelas', 'mbca', 'seribet', 'keluh', 'cs', 'wa', 'lempar', 'solusi', 'suruh', 'cs', 'pas', 'cs', 'suruh', 'ulang', 'lakuin', 'gabisa']",parah login apps ganti device hatus periv sulit gagal melulu verif muka telepon cs jawab gitu uang solusi pakai blu salah transfer login blu kendala verif muka sulit kelas mbca seribet keluh cs wa lempar solusi suruh cs pas cs suruh ulang lakuin gabisa,-16,negative,-1
4,"['lebih', 'jaring', 'bca', 'kurang', 'aplikasi', 'lelet', 'nyaman', 'suka', 'jaring', 'bca']",lebih jaring bca kurang aplikasi lelet nyaman suka jaring bca,6,positive,1
2,"['apknya', 'enak', 'nyaman', 'gitu', 'bagus', 'poll', 'kecewa', 'proses', 'transaksi', 'bnget', 'tolong', 'beli', 'paket', 'data', 'jam', 'pagi', 'masuk', 'udh', 'lapor', 'tunggu', 'maksimal', 'tanggal', 'tanggal', 'tolong', 'bnget', 'jujur', 'nyesel', 'beli', 'paket', 'data', 'blu', 'gitu', 'beli', 'aplikasi', 'kali', 'beli', 'paket', 'data', 'apa', 'blu', 'kasih', 'bintang', 'smpe', 'hri', 'msuk']",apknya enak nyaman gitu bagus poll kecewa proses transaksi bnget tolong beli paket data jam pagi masuk udh lapor tunggu maksimal tanggal tanggal tolong bnget jujur nyesel beli paket data blu gitu beli aplikasi kali beli paket data apa blu kasih bintang smpe hri msuk,-8,negative,-1
1,"['aplikasi', 'tranfer', 'pindah', 'dana', 'terang', 'hasil', 'kirim', 'pas', 'telpon', 'cs', 'ditanggepin', 'blokir', 'cs', 'gabisa', 'telpon', 'aplikasi', 'lucu', 'banget', 'uang', 'kirim', 'kirim', 'bca', 'masuk', 'lelet', 'customer', 'adu', 'transaksi', 'blokir', 'lucuuuuuu']",aplikasi tranfer pindah dana terang hasil kirim pas telpon cs ditanggepin blokir cs gabisa telpon aplikasi lucu banget uang kirim kirim bca masuk lelet customer adu transaksi blokir lucuuuuuu,-1,negative,-1
5,"['guna', 'enak', 'atur', 'butuh', 'simpan', 'dana', 'langsung', 'koneksi', 'lebih', 'jos', 'rekomen']",guna enak atur butuh simpan dana langsung koneksi lebih jos rekomen,0,neutral,0
2,"['masuk', 'app', 'masuk', 'kode', 'otp', 'lambaaaat', 'buru', 'masuk', 'kode', 'kirim', 'kelas', 'bca', 'lambat', 'aplikasi', 'coba', 'baharu', 'tinggal', 'jaman']",masuk app masuk kode otp lambaaaat buru masuk kode kirim kelas bca lambat aplikasi coba baharu tinggal jaman,-24,negative,-1
3,"['aplikasi', 'bagus', 'sesuai', 'butuh', 'gen', 'z', 'milineal', 'narik', 'kena', 'admin', 'mahal', 'banget', 'narik', 'atm', 'bca', 'moga', 'timbang', 'mangkas', 'biaya', 'admin', 'tarik', 'tunai', 'terima', 'kasih']",aplikasi bagus sesuai butuh gen z milineal narik kena admin mahal banget narik atm bca moga timbang mangkas biaya admin tarik tunai terima kasih,-2,negative,-1
5,"['aplikasi', 'blu', 'bca', 'digital', 'customer', 'nilai', 'cakep', 'lbih', 'mudah', 'butuh', 'cepat', 'transaksi', 'tampa', 'ribet', 'transaksi', 'maximal', 'sesuai', 'butuh', 'langgan', 'terimakasih', 'bca', 'blu', 'digital', 'moga', 'bca', 'jaya']",aplikasi blu bca digital customer nilai cakep lbih mudah butuh cepat transaksi tampa ribet transaksi maximal sesuai butuh langgan terimakasih bca blu digital moga bca jaya,17,positive,1
1,"['aplikasi', 'berat', 'banking', 'digital', 'bank', 'kalah', 'mbca', 'tolong', 'bikin', 'ringan', 'aplikasi', 'keluh', 'aplikasi', 'lelet']",aplikasi berat banking digital bank kalah mbca tolong bikin ringan aplikasi keluh aplikasi lelet,-14,negative,-1
4,"['tap', 'flazz', 'apk', 'blu', 'sulit', 'baca', 'mbca', 'langsung', 'baca', 'mohon', 'baik', 'mudah']",tap flazz apk blu sulit baca mbca langsung baca mohon baik mudah,12,positive,1
1,"['suka', 'logout', 'pas', 'butuh', 'verifikasi', 'verifikasi', 'ribet', 'pakai', 'wajah', 'buka', 'mulut', 'pas', 'aneh', 'maluin', 'suka', 'ngulang', 'baik', 'coba', 'developerceo', 'ngelakuin', 'buka', 'mulut', 'hewan', 'lapar', 'wkwkwk']",suka logout pas butuh verifikasi verifikasi ribet pakai wajah buka mulut pas aneh maluin suka ngulang baik coba developerceo ngelakuin buka mulut hewan lapar wkwkwk,0,neutral,0
1,"['app', 'berat', 'banget', 'bayar', 'qr', 'tunggu', 'loading', 'double', 'bayar', 'saldo', 'nyangkut', 'udh', 'fix', 'nilai', 'baru']",app berat banget bayar qr tunggu loading double bayar saldo nyangkut udh fix nilai baru,3,positive,1
1,"['jiirr', 'transfer', 'bifast', 'banget', 'nyampenyampe', 'bifast', 'nama', 'bislow', 'transfer', 'lokal', 'butuh', 'hari', 'bank', 'instan', 'hitung', 'detik', 'deh', 'nyampe']",jiirr transfer bifast banget nyampenyampe bifast nama bislow transfer lokal butuh hari bank instan hitung detik deh nyampe,-3,negative,-1
4,"['aplikasi', 'fitur', 'tolong', 'tingkat', 'kerjasama', 'qris', 'bayar', 'qris', 'tampil', 'qris', 'barcode', 'tampil', 'bayar', 'minimarketstore']",aplikasi fitur tolong tingkat kerjasama qris bayar qris tampil qris barcode tampil bayar minimarketstore,-7,negative,-1
1,"['detik', 'buka', 'aplikasi', 'mohon', 'tingkat', 'kualitas', 'aplikasi', 'emosi', 'masuk', 'aplikasi']",detik buka aplikasi mohon tingkat kualitas aplikasi emosi masuk aplikasi,-11,negative,-1
2,"['bingung', 'daftar', 'tulis', 'hp', 'daftar', 'ebankingjelasjelas', 'buka', 'rekening', 'pakai', 'itu', 'ajadan', 'sim', 'card', 'hp', 'sayadan', 'ebanking', 'pakai', 'tarik', 'tunai', 'kartu', 'masuk']",bingung daftar tulis hp daftar ebankingjelasjelas buka rekening pakai itu ajadan sim card hp sayadan ebanking pakai tarik tunai kartu masuk,-4,negative,-1
2,"['aplikasi', 'berat', 'banget', 'sumpah', 'aplikasi', 'benchmark', 'tlong', 'kelas', 'bca', 'optimal', 'app']",aplikasi berat banget sumpah aplikasi benchmark tlong kelas bca optimal app,-10,negative,-1
3,"['tolong', 'baik', 'aplikasi', 'blu', 'lelet']",tolong baik aplikasi blu lelet,-1,negative,-1
5,"['mudah', 'bayar', 'beli']",mudah bayar beli,0,neutral,0
3,"['top', 'shopee', 'paypadahal']",top shopee paypadahal,5,positive,1
3,"['aplikasi', 'berat', 'terkadang', 'force', 'closed']",aplikasi berat terkadang force closed,-4,negative,-1
1,"['aplikasi', 'culas', 'aplikasi', 'maling', 'mbangking', 'transaksi', 'rekening', 'istri', 'rekening', 'istri', 'biaya', 'masuk', 'norek', 'mutasi', 'nominal', 'uang', 'rekening', 'pakai', 'aplikasi', 'blu', 'blu', 'bca', 'aplikasi', 'maling']",aplikasi culas aplikasi maling mbangking transaksi rekening istri rekening istri biaya masuk norek mutasi nominal uang rekening pakai aplikasi blu blu bca aplikasi maling,-15,negative,-1
1,"['aplikasi', 'sampah', 'program', 'bagus', 'aplikasi', 'sampah', 'ram', 'hp', 'gb', 'tarik', 'tunai', 'apk', 'lot', 'ampun', 'kuliah', 'x']",aplikasi sampah program bagus aplikasi sampah ram hp gb tarik tunai apk lot ampun kuliah x,-21,negative,-1
3,"['update', 'min', 'aplikasi', 'biar', 'simpel', 'kaya', 'aplikasi', 'bank', 'loading', 'aplikasi', 'banget', 'tolong', 'baik', 'min']",update min aplikasi biar simpel kaya aplikasi bank loading aplikasi banget tolong baik min,-7,negative,-1
3,"['blu', 'bca', 'buka', 'lambat', 'ihh', 'loadingnya', 'lamaa', 'ganggu', 'banget']",blu bca buka lambat ihh loadingnya lamaa ganggu banget,-7,negative,-1
5,"['aplikasi', 'sampah', 'splash', 'screen', 'force', 'close', 'aplikasi', 'terupdate', 'hatihati', 'naruh', 'uang']",aplikasi sampah splash screen force close aplikasi terupdate hatihati naruh uang,-14,negative,-1
5,"['bagus', 'dana', 'tunai', 'cepat', 'bunga', 'kompetitif', 'persen']",bagus dana tunai cepat bunga kompetitif persen,7,positive,1
1,"['apk', 'lelet', 'pinjam', 'percaya', 'transaksi', 'pakai', 'super', 'bank', 'buka', 'kasih', 'pinjam', 'jt', 'pakai', 'transaksi', 'tolak', 'trsganti', 'bank', 'online']",apk lelet pinjam percaya transaksi pakai super bank buka kasih pinjam jt pakai transaksi tolak trsganti bank online,8,positive,1
3,"['transfer', 'bca', 'blu', 'bayar', 'nyaman', 'malas', 'pakai', 'blu']",transfer bca blu bayar nyaman malas pakai blu,-2,negative,-1
3,"['nyoba', 'daftar', 'masuk', 'hp', 'otp', 'dikirimkirim']",nyoba daftar masuk hp otp dikirimkirim,-5,negative,-1
5,"['mantap', 'sihapalagi', 'gratis', 'biaya', 'admin', 'bifast', 'transfer']",mantap sihapalagi gratis biaya admin bifast transfer,9,positive,1
3,"['aplikasi', 'berat', 'klik', 'tombol', 'mesti', 'kali', 'pencet', 'biometrik', 'kadang', 'suka', 'error', 'solusi', 'tinggal', 'nonaktif', 'aktif', 'praktis', 'tingkat', 'performa', 'aplikasi']",aplikasi berat klik tombol mesti kali pencet biometrik kadang suka error solusi tinggal nonaktif aktif praktis tingkat performa aplikasi,-8,negative,-1
5,"['aplikasi', 'bagus', 'lengkap', 'tetep', 'kurang', 'berat', 'ngelag', 'lelet', 'tolong', 'baik', 'min', 'ganti', 'pakai', 'tampil', 'apk', 'sat', 'set', 'kaya', 'terima', 'kasih']",aplikasi bagus lengkap tetep kurang berat ngelag lelet tolong baik min ganti pakai tampil apk sat set kaya terima kasih,-6,negative,-1
4,"['cepat', 'aplikasi', 'upgrade', 'cepat', 'operasi', 'terima', 'kasih']",cepat aplikasi upgrade cepat operasi terima kasih,0,neutral,0
4,"['aplikasi', 'bagus', 'terkadang', 'aplikasi', 'ngelag', 'berat']",aplikasi bagus terkadang aplikasi ngelag berat,-7,negative,-1
3,"['aplikasi', 'berat', 'tolong', 'ubah', 'biar', 'berat', 'tampil', 'bagus', 'sederhanain', 'buru', 'buru', 'kelamanaan', 'buka', 'aplikasi', 'nungguin', 'loadingnya', 'lanjur', 'umroh']",aplikasi berat tolong ubah biar berat tampil bagus sederhanain buru buru kelamanaan buka aplikasi nungguin loadingnya lanjur umroh,-20,negative,-1
1,"['sayang', 'cek', 'saldotarik', 'tunai', 'lain', 'atm', 'bca', 'kartu', 'debit', 'blubca', 'kena', 'biayakalo', 'bca']",sayang cek saldotarik tunai lain atm bca kartu debit blubca kena biayakalo bca,-8,negative,-1
5,"['adain', 'paylaternya', 'donk', 'blu', 'extra', 'cash', 'diadain', 'kota', 'donk', 'pilah', 'pilih', 'aplikasi', 'blu', 'daerah']",adain paylaternya donk blu extra cash diadain kota donk pilah pilih aplikasi blu daerah,-5,negative,-1
5,"['fitur', 'bagus', 'mudah', 'buka', 'rek', 'transaksi', 'setor', 'tunai', 'terima', 'dana', 'kena', 'biaya', 'admin', 'bca', 'beli', 'online', 'kena', 'biaya', 'admin', 'lumayan', 'gede', 'inovasi', 'bank', 'digital', 'promo', 'bebas', 'admin', 'diskon', 'biaya', 'admin', 'trimks']",fitur bagus mudah buka rek transaksi setor tunai terima dana kena biaya admin bca beli online kena biaya admin lumayan gede inovasi bank digital promo bebas admin diskon biaya admin trimks,11,positive,1
1,"['baik', 'layan', 'buka', 'rekeningcs', 'ramahaplikasinya', 'berat', 'banding']",baik layan buka rekeningcs ramahaplikasinya berat banding,2,positive,1
1,"['login', 'butuh', 'banget', 'ambil', 'duit', 'tunggu', 'menit', 'lbh', 'buka', 'jam', 'kecewa']",login butuh banget ambil duit tunggu menit lbh buka jam kecewa,-10,negative,-1
5,"['sayang', 'sidik', 'jari', 'kepake']",sayang sidik jari kepake,-4,negative,-1
5,"['blu', 'bca', 'digital', 'mobile', 'banking', 'mudah', 'bantu', 'transaksi', 'simpan', 'uang', 'biaya', 'admin', 'bulan']",blu bca digital mobile banking mudah bantu transaksi simpan uang biaya admin bulan,2,positive,1
1,"['enak', 'transaksi', 'free', 'adm', 'bi', 'fast', 'limit', 'mbanking', 'transaksi', 'lapor', 'cs', 'buat', 'lapor', 'iseng', 'coba', 'trf', 'rek', 'tsb', 'ribu', 'uang', 'kurang', 'krg', 'rp', 'saldo', 'jt', 'coba', 'trf', 'ribu', 'buka', 'nambah', 'kurang', 'jt', 'coba', 'aman', 'sisa', 'diapain', 'telepon', 'cs', 'jawab', 'krg', 'muas', 'ujung', 'buat', 'lapor', 'gmn', 'tanggung', 'bca', 'digital']",enak transaksi free adm bi fast limit mbanking transaksi lapor cs buat lapor iseng coba trf rek tsb ribu uang kurang krg rp saldo jt coba trf ribu buka nambah kurang jt coba aman sisa diapain telepon cs jawab krg muas ujung buat lapor gmn tanggung bca digital,3,positive,1
5,"['aplikasi', 'bagus', 'saran', 'mohon', 'performa', 'pakai', 'cepat', 'loading']",aplikasi bagus saran mohon performa pakai cepat loading,-7,negative,-1
5,"['minus', 'aga', 'patah', 'gitu', 'emang', 'ram', 'gede', 'kali', 'aga', 'frendly', 'gitu', 'ram', 'berapa', 'masuk', 'patah', 'lebih', 'gong', 'banget', 'pakai']",minus aga patah gitu emang ram gede kali aga frendly gitu ram berapa masuk patah lebih gong banget pakai,-12,negative,-1
5,"['alam', 'guna', 'blu', 'alhamdulillah', 'aman', 'lumayan', 'nyaman', 'kurang', 'aplikasi', 'lelet', 'tingkat', 'guna', 'nyaman']",alam guna blu alhamdulillah aman lumayan nyaman kurang aplikasi lelet tingkat guna nyaman,9,positive,1
4,"['tambahin', 'fitur', 'dark', 'mode', 'nyaman', 'mata']",tambahin fitur dark mode nyaman mata,2,positive,1
5,"['bca', 'selqma', 'pakai', 'ribet', 'cepat', 'mmuadkan', 'pakai']",bca selqma pakai ribet cepat mmuadkan pakai,-4,negative,-1
5,"['mana', 'transfer', 'gratis', 'thankyouuuu']",mana transfer gratis thankyouuuu,4,positive,1
5,"['alhamdulillah', 'cepat', 'transaksi']",alhamdulillah cepat transaksi,9,positive,1
2,"['muas', 'pakai', 'pas', 'csnya', 'mana', 'verifikasi', 'email', 'ampun', 'girilan', 'kode', 'masalah']",muas pakai pas csnya mana verifikasi email ampun girilan kode masalah,-1,negative,-1
4,"['aplikasi', 'bagus', 'milik', 'saran', 'blu', 'buat', 'tambah', 'fitur', 'investasi', 'crypto', 'kolaborasi', 'kartu', 'debit', 'blu', 'crypto', 'currency', 'bayar', 'rupiah', 'mata', 'uang', 'crypto', 'pikir', 'tarik']",aplikasi bagus milik saran blu buat tambah fitur investasi crypto kolaborasi kartu debit blu crypto currency bayar rupiah mata uang crypto pikir tarik,-5,negative,-1
5,"['bagus', 'aplikasi', 'lambat']",bagus aplikasi lambat,-5,negative,-1
5,"['mantap', 'blu', 'bca', 'daftar', 'ribet', 'transaksi', 'apk', 'optimal', 'lambat', 'moga', 'kembang']",mantap blu bca daftar ribet transaksi apk optimal lambat moga kembang,8,positive,1
5,"['suka', 'pakai', 'blu', 'digital', 'kota', 'blom', 'pinjam', 'nasabah', 'yah']",suka pakai blu digital kota blom pinjam nasabah yah,5,positive,1
5,"['transaksi', 'blu', 'gratis', 'proses', 'cepat']",transaksi blu gratis proses cepat,9,positive,1
